The 2500 is for the radiant dye and the 3098 is for Thorlabs black.
x_peak: 2495, y_peak: 2050, x0: 2495.0, y0: 2050.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3095, y_peak: 1960, x0: 3095.0, y0: 1960.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2501, y_peak: 2061, x0: 2501.0, y0: 2061.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3086, y_peak: 1960, x0: 3086.0, y0: 1960.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2489, y_peak: 2057, x0: 2489.0, y0: 2057.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3093, y_peak: 1977, x0: 3093.0, y0: 1977.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2505, y_peak: 2033, x0: 2505.0, y0: 2033.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3095, y_peak: 1969, x0: 3095.0, y0: 1969.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3097, y_peak: 1993, x0: 3097.0, y0: 1993.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2499, y_peak: 2043, x0: 2499.0, y0: 2043.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2487, y_peak: 2050, x0: 2487.0, y0: 2050.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3093, y_peak: 1972, x0: 3093.0, y0: 1972.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2498, y_peak: 2063, x0: 2498.0, y0: 2063.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3100, y_peak: 1968, x0: 3100.0, y0: 1968.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3099, y_peak: 1991, x0: 3099.0, y0: 1991.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2514, y_peak: 2041, x0: 2514.0, y0: 2041.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3111, y_peak: 1980, x0: 3111.0, y0: 1980.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2498, y_peak: 2038, x0: 2498.0, y0: 2038.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2502, y_peak: 2062, x0: 2502.0, y0: 2062.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3095, y_peak: 1958, x0: 3095.0, y0: 1958.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3097, y_peak: 1981, x0: 3097.0, y0: 1981.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2489, y_peak: 2043, x0: 2489.0, y0: 2043.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2495, y_peak: 2042, x0: 2495.0, y0: 2042.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3079, y_peak: 1964, x0: 3079.0, y0: 1964.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2495, y_peak: 2041, x0: 2495.0, y0: 2041.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
